Kind,Name,CountDeclFunction
File,"App.test.tsx",6
File,"App.tsx",1
File,"AppHeader.test.tsx",22
File,"AppHeader.tsx",9
File,"ApplicationBody.test.tsx",21
File,"ApplicationBody.tsx",3
File,"Assert.ts",2
File,"AuthProvider.tsx",6
File,"Classify.test.ts",2
File,"Classify.ts",1
File,"CollabGraphData.ts",0
File,"CollaborationGraph.test.tsx",13
File,"CollaborationGraph.tsx",37
File,"CommitFilter.ts",0
File,"CommitTable.test.tsx",12
File,"CommitTable.tsx",13
File,"CommitTableData.ts",0
File,"CommitTimeline.test.tsx",26
File,"CommitTimeline.tsx",26
File,"CommitsDateRangeFromInput.test.tsx",3
File,"CommitsDateRangeFromInput.tsx",2
File,"CommitsDateRangeUntilInput.test.tsx",3
File,"CommitsDateRangeUntilInput.tsx",2
File,"CommitsTypeFilterInput.test.tsx",4
File,"CommitsTypeFilterInput.tsx",2
File,"ConfigurationPane.tsx",1
File,"Constants.ts",0
File,"DataComponents.test.tsx",10
File,"DataComponents.tsx",11
File,"DataLayerTypes.ts",0
File,"DataToLogic.test.ts",3
File,"DataToLogic.ts",6
File,"Dropdown.test.tsx",6
File,"Dropdown.tsx",1
File,"FilterForm.test.tsx",3
File,"FilterForm.tsx",9
File,"ForkFilterUtil.test.ts",14
File,"ForkFilterUtil.ts",3
File,"ForkList.test.tsx",10
File,"ForkList.tsx",7
File,"ForkListData.ts",0
File,"ForksCountInput.test.tsx",4
File,"ForksCountInput.tsx",2
File,"ForksQueryOrderAscDescInput.test.tsx",4
File,"ForksQueryOrderAscDescInput.tsx",3
File,"ForksQueryOrderInput.test.tsx",4
File,"ForksQueryOrderInput.tsx",3
File,"FormSubmissionUtils.test.ts",4
File,"FormSubmissionUtils.ts",4
File,"GitHubCallback.test.tsx",14
File,"GitHubCallback.tsx",4
File,"Histogram.test.tsx",5
File,"Histogram.tsx",27
File,"HistogramData.ts",0
File,"HistogramUtils.test.ts",8
File,"HistogramUtils.ts",10
File,"HomePage.test.tsx",12
File,"HomePage.tsx",6
File,"InferenceData.ts",1
File,"InfoButton.test.tsx",8
File,"InfoButton.tsx",4
File,"LogicLayerTypes.ts",0
File,"OwnerTypeFilterInput.test.tsx",4
File,"OwnerTypeFilterInput.tsx",2
File,"ProcessCommits.test.ts",21
File,"ProcessCommits.ts",3
File,"RecentlyUpdatedInput.test.tsx",4
File,"RecentlyUpdatedInput.tsx",2
File,"RepositoryInput.test.tsx",4
File,"RepositoryInput.tsx",2
File,"Sanitize.test.ts",47
File,"Sanitize.ts",14
File,"SankeyData.ts",0
File,"SankeyDiagram.test.tsx",17
File,"SankeyDiagram.tsx",47
File,"SearchBar.tsx",3
File,"TimelineData.ts",0
File,"Tooltip.tsx",1
File,"Tooltip.tsx",1
File,"UIFormErrors.ts",14
File,"UIFormTypes.ts",0
File,"VisualizationData.ts",0
File,"WordCloud.tsx",17
File,"WordCloudData.ts",0
File,"deleteDuplicateCommits.ts",20
File,"index.css",0
File,"main.tsx",0
File,"queries.tsx",11
File,"queryHelpers.test.ts",5
File,"queryHelpers.ts",3
File,"rawQueries.ts",6
File,"test-utils.tsx",2
File,"timelineConstants.ts",0
File,"timelineGraphics.ts",29
File,"timelineUtils.test.ts",15
File,"timelineUtils.ts",30
File,"useFilterForm.test.ts",58
File,"useFilterForm.ts",24
File,"useFilteredData.test.ts",9
File,"useFilteredData.ts",18
File,"useFormSubmission.test.ts",18
File,"useFormSubmission.ts",3
File,"useVisualizationData.test.ts",27
File,"useVisualizationData.ts",29
File,"utils.ts",8
File,"utils.ts",10
File,"visualizationDescriptions.test.ts",5
File,"visualizationDescriptions.ts",0
File,"vite-env.d.ts",0
File,"vitest.setup.ts",4
